,claim_id,claim_status,claim_open_date,claim_close_date,claim_reason,claim_amount,policy_number,beneficiary_id,date_of_loss,amount_claimed,amount_paid
420,C50c2e82ddd50420,0.0,2015-11-17,2016-03-14,5.0,4918.0,Paf6df7a7420,420.0,2015-10-28,22102.0,2596.0
422,C50c2e82ddd50422,0.0,2023-02-02,2023-04-13,0.0,977.0,Paf6df7aa422,422.0,2022-08-27,49791.0,49106.0
423,C50c2e82ddd50423,1.0,2018-02-12,2018-04-29,0.0,1772.0,Paf6e1eb3423,423.0,2018-10-28,36449.0,13859.0
425,C50c2e82ddd50425,0.0,2018-11-24,2019-05-24,1.0,2665.0,Paf6e1eb6425,425.0,2018-01-16,44125.0,20432.0
427,C50c2e82ddd50427,1.0,2019-09-17,2019-09-21,1.0,4019.0,Paf6e1eb9427,427.0,2020-08-02,34424.0,13775.0
428,C50c2e82ddd50428,0.0,2002-11-13,2002-12-02,1.0,3375.0,Paf6e1ebb428,428.0,2003-04-22,6852.0,4334.0
431,C50c2e82ddd50431,1.0,2022-08-19,2022-08-25,2.0,1419.0,Paf6e45c6431,431.0,2022-06-12,35822.0,28885.0
432,C50c2e82ddd50432,1.0,2022-01-01,2022-02-20,3.0,2899.0,Paf6e45c8432,432.0,2021-07-22,26531.0,17580.0
437,C50c2e82ddd50437,1.0,2003-07-26,2004-01-09,4.0,4173.0,Paf6e6ce3437,437.0,2014-04-22,42072.0,14798.0
438,C50c2e82ddd50438,0.0,2013-08-27,2014-03-08,5.0,3309.0,Paf6e6ce5438,438.0,2018-07-02,10819.0,8605.0
439,C50c2e82ddd50439,0.0,2007-08-11,2007-08-28,0.0,4565.0,Paf6e6ce7439,439.0,2021-07-06,30276.0,5374.0
441,C50c2e82ddd50441,0.0,2018-09-12,2018-10-27,4.0,4785.0,Paf6e6cea441,441.0,2019-01-17,27144.0,24490.0
442,C50c2e82ddd50442,0.0,2022-03-29,2022-07-25,5.0,850.0,Paf6e93ef442,442.0,2022-03-02,28289.0,18885.0
444,C50c2e82ddd50444,1.0,2017-10-07,2017-12-29,0.0,2145.0,Paf6e93f2444,444.0,2018-02-12,49085.0,44032.0
445,C50c2e82ddd50445,1.0,2021-11-04,2022-04-16,4.0,3387.0,Paf6e93f4445,445.0,2022-09-25,46504.0,33885.0
447,C50c2e82ddd50447,0.0,2022-07-30,2022-11-27,1.0,777.0,Paf6e93f7447,447.0,2022-07-28,24113.0,19779.0
448,C50c2e82ddd50448,1.0,2019-11-10,2019-11-23,2.0,2929.0,Paf6ebb01448,448.0,2020-11-06,48221.0,34819.0
449,C50c2e82ddd50449,1.0,2015-08-03,2015-09-13,2.0,2442.0,Paf6ebb03449,449.0,2017-01-20,28661.0,3354.0
450,C50c2e82ddd50450,0.0,2021-03-18,2021-05-03,5.0,4315.0,Paf6ebb05450,450.0,2020-06-22,38553.0,21916.0
451,C50c2e82ddd50451,0.0,2017-09-13,2017-10-06,3.0,4416.0,Paf6ebb07451,451.0,2018-04-01,3143.0,1244.0
452,C50c2e82ddd50452,0.0,2022-06-29,2022-10-12,1.0,2832.0,Paf6ebb09452,452.0,2022-04-05,44048.0,6465.0
454,C50c2e82ddd50454,0.0,2020-07-09,2020-08-21,5.0,669.0,Paf6ee214454,454.0,2021-08-13,33513.0,5751.0
458,C50c2e82ddd50458,0.0,2019-03-26,2019-06-22,1.0,2008.0,Paf6ee219458,458.0,2021-11-02,7099.0,1450.0
459,C50c2e82ddd50459,1.0,2013-10-16,2013-11-01,0.0,198.0,Paf6ee21b459,459.0,2021-10-03,34645.0,33707.0
460,C50c2e82ddd50460,0.0,2011-11-19,2011-12-29,0.0,1887.0,Paf6f0925460,460.0,2016-06-08,23449.0,11117.0
461,C50c2e82ddd50461,1.0,2020-08-19,2020-08-28,3.0,1193.0,Paf6f0927461,461.0,2022-06-20,11806.0,3011.0
462,C50c2e82ddd50462,0.0,2022-07-09,2022-07-29,5.0,2917.0,Paf6f0929462,462.0,2022-05-23,1798.0,1553.0
467,C50c2e82ddd50467,1.0,2022-03-12,2022-04-26,2.0,675.0,Paf6f303b467,467.0,2022-06-16,27337.0,700.0
468,C50c2e82ddd50468,1.0,2019-11-29,2019-12-29,4.0,4640.0,Paf6f303d468,468.0,2022-10-04,39833.0,37609.0
473,C50c2e82ddd50473,1.0,2022-10-18,2022-11-06,5.0,3273.0,Paf6f3043473,473.0,2022-11-05,5135.0,2202.0
474,C50c2e82ddd50474,1.0,2018-07-25,2018-10-10,1.0,3027.0,Paf6f5749474,474.0,2019-03-16,44176.0,22415.0
475,C50c2e82ddd50475,0.0,2014-07-06,2014-08-13,4.0,3474.0,Paf6f574b475,475.0,2019-11-08,15629.0,10316.0
476,C50c2e82ddd50476,1.0,2022-10-09,2022-11-06,1.0,3180.0,Paf6f574d476,476.0,2022-03-28,6506.0,953.0
482,C50c2e82ddd50482,1.0,2011-01-30,2011-04-02,3.0,1112.0,Paf6f7fdf482,482.0,2013-12-27,31041.0,17363.0
483,C50c2e82ddd50483,1.0,2021-07-24,2021-08-06,2.0,3157.0,Paf6f7fe1483,483.0,2021-07-06,46048.0,34748.0
484,C50c2e82ddd50484,1.0,2018-09-11,2018-10-10,1.0,3034.0,Paf6f8cd9484,484.0,2019-03-07,10450.0,676.0
485,C50c2e82ddd50485,1.0,2012-04-10,2012-05-29,2.0,3018.0,Paf6f8cdb485,485.0,2016-05-18,32505.0,26404.0
486,C50c2e82ddd50486,1.0,2011-06-08,2011-07-01,1.0,3934.0,Paf6f8cdd486,486.0,2014-10-19,37858.0,33519.0
489,C50c2e82ddd50489,1.0,2010-01-15,2010-01-26,2.0,283.0,Paf6f8ce1489,489.0,2015-07-22,15836.0,5139.0
494,C50c2e82ddd50494,0.0,2008-05-26,2008-07-22,0.0,514.0,Paf6fb3f2494,494.0,2009-01-24,22280.0,18423.0
495,C50c2e82ddd50495,1.0,2021-09-14,2021-09-17,2.0,1819.0,Paf6fdaed495,495.0,2022-03-12,17035.0,574.0
496,C50c2e82ddd50496,1.0,2021-04-08,2021-05-07,3.0,1767.0,Paf6fdaef496,496.0,2021-03-04,36646.0,26564.0
497,C50c2e82ddd50497,1.0,2022-10-27,2023-01-09,3.0,2631.0,Paf6fdaf1497,497.0,2022-08-22,31112.0,3217.0
499,C50c2e82ddd50499,0.0,2023-08-08,2023-09-12,4.0,3202.0,Paf6fdaf4499,499.0,2022-10-18,7019.0,3516.0
501,C50c2e82ddd50501,1.0,2013-06-11,2013-07-15,1.0,1100.0,Paf700206501,501.0,2020-04-08,24571.0,3198.0
504,C50c2e82ddd50504,1.0,2022-01-24,2022-04-23,0.0,842.0,Paf70020a504,504.0,2022-03-21,45557.0,27621.0
509,C50c2e82ddd50509,0.0,2016-11-06,2016-12-29,4.0,2039.0,Paf702918509,509.0,2020-12-26,36532.0,14843.0
511,C50c2e82ddd50511,1.0,2020-08-16,2020-11-04,5.0,1344.0,Paf70291b511,511.0,2020-08-06,23397.0,2277.0
512,C50c2e82ddd50512,1.0,2023-01-03,2023-01-18,2.0,1461.0,Paf70291d512,512.0,2022-06-21,29664.0,3557.0
513,C50c2e82ddd50513,1.0,2012-06-08,2012-08-11,4.0,591.0,Paf70291f513,513.0,2016-06-19,20479.0,19005.0
518,C50c2e82ddd50518,0.0,2021-08-03,2021-09-07,2.0,4540.0,Paf705038518,518.0,2022-10-24,37957.0,25001.0
519,C50c2e82ddd50519,0.0,2018-04-06,2018-05-28,2.0,2622.0,Paf70503a519,519.0,2018-01-15,17017.0,8913.0
521,C50c2e82ddd50521,0.0,2013-09-05,2013-09-23,4.0,2817.0,Paf70503d521,521.0,2020-12-12,44374.0,18961.0
522,C50c2e82ddd50522,0.0,2020-07-02,2020-08-29,0.0,1739.0,Paf707738522,522.0,2021-09-27,21183.0,15010.0
523,C50c2e82ddd50523,0.0,2023-01-08,2023-03-24,0.0,3649.0,Paf70773a523,523.0,2022-09-14,49768.0,2495.0
524,C50c2e82ddd50524,0.0,2019-09-19,2019-12-26,3.0,4143.0,Paf70773c524,524.0,2020-12-09,29766.0,23610.0
525,C50c2e82ddd50525,0.0,2016-12-12,2016-12-12,2.0,2494.0,Paf70773e525,525.0,2016-11-24,17351.0,3272.0
527,C50c2e82ddd50527,0.0,2019-07-30,2019-09-09,0.0,463.0,Paf709e48527,527.0,2019-07-25,18072.0,9760.0
530,C50c2e82ddd50530,0.0,2017-05-04,2017-06-30,1.0,4408.0,Paf709e4c530,530.0,2020-07-13,37914.0,17052.0
531,C50c2e82ddd50531,1.0,2016-07-10,2016-10-17,4.0,254.0,Paf709e4e531,531.0,2017-03-08,39452.0,30065.0
532,C50c2e82ddd50532,1.0,2022-09-12,2022-10-14,4.0,1028.0,Paf709e50532,532.0,2022-02-03,8221.0,1802.0
533,C50c2e82ddd50533,0.0,2022-05-31,2022-06-13,4.0,3158.0,Paf70c560533,533.0,2022-10-28,10326.0,6363.0
534,C50c2e82ddd50534,1.0,2021-12-08,2021-12-15,2.0,3909.0,Paf70c562534,534.0,2022-08-16,22165.0,16883.0
536,C50c2e82ddd50536,0.0,2016-08-21,2016-09-13,4.0,3391.0,Paf70c565536,536.0,2019-06-24,15505.0,6161.0
540,C50c2e82ddd50540,1.0,2022-04-10,2022-04-24,0.0,262.0,Paf70ec6c540,540.0,2022-01-16,37432.0,31450.0
541,C50c2e82ddd50541,0.0,2009-12-21,2010-02-03,0.0,3193.0,Paf70ec6e541,541.0,2012-07-27,8028.0,4373.0
548,C50c2e82ddd50548,1.0,2020-10-12,2020-10-31,0.0,1643.0,Paf71137d548,548.0,2020-09-08,9547.0,3706.0
550,C50c2e82ddd50550,1.0,2018-12-24,2019-01-19,4.0,1901.0,Paf711380550,550.0,2019-05-12,5734.0,1594.0
551,C50c2e82ddd50551,0.0,2014-05-17,2014-05-22,4.0,1756.0,Paf711382551,551.0,2017-05-23,4386.0,576.0
552,C50c2e82ddd50552,0.0,2016-05-23,2016-05-30,0.0,945.0,Paf711384552,552.0,2022-03-20,34253.0,18505.0
554,C50c2e82ddd50554,0.0,2014-09-24,2014-10-14,4.0,3333.0,Paf713a8f554,554.0,2017-01-05,29129.0,15746.0
555,C50c2e82ddd50555,1.0,2019-11-04,2019-11-23,1.0,3844.0,Paf713a91555,555.0,2020-04-13,35423.0,4946.0
558,C50c2e82ddd50558,0.0,2021-08-02,2021-08-24,4.0,464.0,Paf713a95558,558.0,2021-07-26,21833.0,4203.0
559,C50c2e82ddd50559,1.0,2021-02-24,2021-03-13,1.0,626.0,Paf713a97559,559.0,2022-01-06,46456.0,32179.0
560,C50c2e82ddd50560,1.0,2010-03-12,2010-08-04,3.0,1868.0,Paf7161a1560,560.0,2010-05-11,14974.0,5515.0
561,C50c2e82ddd50561,0.0,2018-08-17,2018-10-14,1.0,3004.0,Paf7161a3561,561.0,2018-10-17,14271.0,2473.0
563,C50c2e82ddd50563,1.0,2022-04-22,2022-04-23,4.0,1166.0,Paf7161a6563,563.0,2022-05-21,40306.0,29457.0
565,C50c2e82ddd50565,1.0,2022-11-02,2022-11-05,2.0,3178.0,Paf7161a9565,565.0,2022-03-16,49483.0,21974.0
566,C50c2e82ddd50566,1.0,2011-07-04,2011-07-08,3.0,1076.0,Paf7188b3566,566.0,2012-08-16,44651.0,2204.0
567,C50c2e82ddd50567,0.0,2018-04-18,2018-05-16,0.0,2700.0,Paf7188b5567,567.0,2017-07-04,36825.0,3548.0
569,C50c2e82ddd50569,0.0,2017-02-14,2017-04-21,3.0,2700.0,Paf7188b8569,569.0,2019-01-06,21680.0,1917.0
570,C50c2e82ddd50570,1.0,2017-11-26,2018-04-07,3.0,4753.0,Paf7188ba570,570.0,2018-07-05,42707.0,35439.0
575,C50c2e82ddd50575,0.0,2022-12-17,2023-01-21,2.0,762.0,Paf71afca575,575.0,2022-12-10,19208.0,16507.0
577,C50c2e82ddd50577,1.0,2022-10-31,2022-12-02,3.0,4850.0,Paf71afcd577,577.0,2022-09-03,2202.0,1049.0
578,C50c2e82ddd50578,0.0,2016-09-06,2016-12-26,4.0,769.0,Paf71afcf578,578.0,2022-02-15,41989.0,14793.0
581,C50c2e82ddd50581,1.0,2022-04-15,2022-07-29,3.0,3387.0,Paf71d6dd581,581.0,2022-10-28,37596.0,37406.0
582,C50c2e82ddd50582,1.0,2011-07-22,2011-11-05,3.0,1532.0,Paf71d6df582,582.0,2018-05-28,48577.0,2983.0
585,C50c2e82ddd50585,1.0,2018-05-24,2018-05-27,5.0,885.0,Paf71d6e3585,585.0,2022-04-06,7048.0,707.0
588,C50c2e82ddd50588,1.0,2017-03-28,2017-04-17,4.0,1103.0,Paf71fdee588,588.0,2016-12-14,7226.0,6774.0
590,C50c2e82ddd50590,1.0,2018-12-11,2018-12-17,1.0,585.0,Paf71fdf1590,590.0,2018-01-07,24932.0,6777.0
592,C50c2e82ddd50592,1.0,2022-08-03,2023-04-06,3.0,2234.0,Paf71fdf4592,592.0,2022-12-26,8699.0,7554.0
595,C50c2e82ddd50595,0.0,2011-07-05,2011-07-27,5.0,2783.0,Paf722509595,595.0,2021-04-11,39486.0,11388.0
596,C50c2e82ddd50596,1.0,2011-08-27,2011-10-16,3.0,1086.0,Paf72250b596,596.0,2018-10-02,28458.0,23011.0
598,C50c2e82ddd50598,0.0,2018-09-07,2018-11-29,1.0,3517.0,Paf724c12598,598.0,2019-05-26,26071.0,1621.0
600,C50c2e82ddd50600,0.0,2022-07-28,2022-10-20,1.0,2043.0,Paf724c15600,600.0,2022-01-19,1692.0,1276.0
601,C50c2e82ddd50601,0.0,2022-08-07,2022-09-14,2.0,4959.0,Paf724c17601,601.0,2022-01-03,15831.0,9979.0
605,C50c2e82ddd50605,1.0,2018-05-16,2018-12-26,4.0,695.0,Paf727327605,605.0,2021-04-24,12786.0,7429.0
609,C50c2e82ddd50609,0.0,2008-07-06,2008-08-13,5.0,4642.0,Paf72732c609,609.0,2013-02-09,42702.0,22745.0
611,C50c2e82ddd50611,0.0,2021-09-16,2021-09-22,4.0,3267.0,Paf729a36611,611.0,2022-06-04,38571.0,37462.0
613,C50c2e82ddd50613,0.0,2021-04-24,2021-05-18,3.0,2463.0,Paf729a39613,613.0,2022-11-17,41529.0,28675.0
614,C50c2e82ddd50614,1.0,2010-11-23,2010-12-11,5.0,1280.0,Paf729a3b614,614.0,2022-11-22,29881.0,18354.0
615,C50c2e82ddd50615,1.0,2019-02-04,2019-03-17,5.0,4321.0,Paf729a3d615,615.0,2019-04-12,48406.0,33826.0
616,C50c2e82ddd50616,1.0,2021-03-10,2021-08-29,5.0,435.0,Paf72c148616,616.0,2021-12-08,37711.0,1549.0
617,C50c2e82ddd50617,0.0,2018-10-25,2018-10-29,4.0,2134.0,Paf72c14a617,617.0,2018-04-19,12895.0,2468.0
621,C50c2e82ddd50621,1.0,2023-05-04,2023-05-26,4.0,3298.0,Paf72c14f621,621.0,2022-02-20,8356.0,5207.0
622,C50c2e82ddd50622,0.0,2017-02-12,2017-03-27,5.0,4179.0,Paf72c151622,622.0,2019-04-04,24363.0,3843.0
623,C50c2e82ddd50623,0.0,2022-01-13,2022-02-08,1.0,338.0,Paf72e85c623,623.0,2022-09-10,42827.0,8505.0
624,C50c2e82ddd50624,1.0,2005-11-27,2006-05-05,3.0,658.0,Paf72e85e624,624.0,2016-05-02,23045.0,4747.0
625,C50c2e82ddd50625,0.0,2022-09-07,2022-09-12,5.0,1425.0,Paf72e860625,625.0,2022-03-14,9657.0,3134.0
627,C50c2e82ddd50627,1.0,2014-10-13,2014-10-14,3.0,370.0,Paf72e863627,627.0,2022-04-19,46106.0,31547.0
628,C50c2e82ddd50628,0.0,2014-11-18,2015-05-24,2.0,4144.0,Paf730f6b628,628.0,2019-08-11,46335.0,20385.0
629,C50c2e82ddd50629,1.0,2009-04-28,2009-07-06,2.0,1784.0,Paf730f6d629,629.0,2011-11-06,42887.0,18517.0
630,C50c2e82ddd50630,0.0,2022-06-11,2022-06-14,1.0,1066.0,Paf730f6f630,630.0,2022-08-04,3393.0,2421.0
636,C50c2e82ddd50636,0.0,2021-09-28,2021-10-08,1.0,4847.0,Paf733683636,636.0,2022-11-17,38499.0,32506.0
639,C50c2e82ddd50639,0.0,2021-12-19,2021-12-29,0.0,185.0,Paf733687639,639.0,2021-05-28,41632.0,25225.0
646,C50c2e82ddd50646,1.0,2022-09-11,2022-10-01,0.0,4289.0,Paf735d93646,646.0,2022-12-22,27685.0,23668.0
648,C50c2e82ddd50648,1.0,2019-03-27,2019-06-30,2.0,3854.0,Paf735d96648,648.0,2022-01-13,8075.0,3992.0
650,C50c2e82ddd50650,1.0,2017-06-22,2017-07-30,1.0,4565.0,Paf7384a1650,650.0,2021-12-26,46427.0,25443.0
655,C50c2e82ddd50655,1.0,2004-09-21,2004-11-02,5.0,4330.0,Paf7384a7655,655.0,2020-11-03,1215.0,712.0
656,C50c2e82ddd50656,1.0,2013-05-09,2013-05-27,1.0,2467.0,Paf7384a9656,656.0,2016-04-18,7662.0,1090.0
658,C50c2e82ddd50658,0.0,2020-02-09,2020-02-15,5.0,3379.0,Paf73abb4658,658.0,2020-06-03,25771.0,19343.0
659,C50c2e82ddd50659,1.0,2019-08-30,2019-09-25,2.0,3059.0,Paf73abb6659,659.0,2019-07-08,47054.0,13111.0
660,C50c2e82ddd50660,0.0,2016-07-09,2016-09-30,3.0,1064.0,Paf73abb8660,660.0,2020-05-23,15102.0,11601.0
662,C50c2e82ddd50662,1.0,2023-02-17,2023-02-22,3.0,294.0,Paf73abbb662,662.0,2022-12-02,36198.0,10735.0
663,C50c2e82ddd50663,0.0,2019-01-18,2019-02-18,4.0,1008.0,Paf73d2c9663,663.0,2022-02-11,25710.0,16885.0
665,C50c2e82ddd50665,1.0,2021-05-19,2021-07-23,1.0,2177.0,Paf73d2cc665,665.0,2021-03-15,6504.0,4384.0
667,C50c2e82ddd50667,0.0,2010-07-22,2011-01-15,4.0,2450.0,Paf73d2cf667,667.0,2010-06-14,3844.0,2138.0
670,C50c2e82ddd50670,1.0,2016-06-29,2016-08-08,0.0,2691.0,Paf73f9d9670,670.0,2018-10-25,23875.0,23385.0
671,C50c2e82ddd50671,1.0,2021-11-28,2022-02-09,5.0,3887.0,Paf73f9db671,671.0,2022-06-24,18064.0,17654.0
673,C50c2e82ddd50673,1.0,2021-11-19,2022-04-06,5.0,4867.0,Paf73f9de673,673.0,2021-08-23,18032.0,7539.0
675,C50c2e82ddd50675,1.0,2019-09-21,2019-10-08,1.0,1134.0,Paf73f9e1675,675.0,2019-08-10,18273.0,17496.0
676,C50c2e82ddd50676,0.0,2022-11-04,2022-11-23,3.0,2983.0,Paf7420ee676,676.0,2022-08-25,30443.0,25396.0
677,C50c2e82ddd50677,1.0,2011-10-08,2011-12-01,2.0,309.0,Paf7420f0677,677.0,2018-03-02,27244.0,17104.0
680,C50c2e82ddd50680,0.0,2020-08-24,2021-06-01,3.0,3131.0,Paf7420f4680,680.0,2021-04-15,18638.0,14001.0
681,C50c2e82ddd50681,0.0,2017-11-12,2018-04-02,2.0,1729.0,Paf7447fc681,681.0,2020-03-06,22604.0,15140.0
683,C50c2e82ddd50683,0.0,2022-11-06,2022-12-15,3.0,4465.0,Paf7447ff683,683.0,2022-07-17,41982.0,34410.0
684,C50c2e82ddd50684,1.0,2017-12-31,2018-01-02,2.0,2136.0,Paf744801684,684.0,2018-02-18,22143.0,9886.0
685,C50c2e82ddd50685,0.0,2018-07-13,2018-10-29,4.0,3377.0,Paf744803685,685.0,2019-02-16,3859.0,2454.0
687,C50c2e82ddd50687,0.0,2023-08-16,2023-08-18,4.0,1925.0,Paf746f10687,687.0,2022-12-09,16322.0,10831.0
691,C50c2e82ddd50691,1.0,2011-12-31,2012-04-15,4.0,2621.0,Paf746f15691,691.0,2022-01-19,44647.0,5253.0
694,C50c2e82ddd50694,1.0,2015-08-05,2015-10-16,3.0,3527.0,Paf74962b694,694.0,2019-04-09,10579.0,9969.0
699,C50c2e82ddd50699,1.0,2010-08-27,2010-08-27,2.0,2354.0,Paf74bd36699,699.0,2014-04-04,12026.0,7472.0
701,C50c2e82ddd50701,1.0,2019-05-08,2019-07-29,0.0,1933.0,Paf74bd39701,701.0,2020-03-26,8280.0,7713.0
703,C50c2e82ddd50703,0.0,2021-03-11,2021-08-18,2.0,3195.0,Paf74bd3c703,703.0,2022-05-22,22028.0,10887.0
706,C50c2e82ddd50706,0.0,2015-06-23,2015-06-24,2.0,4338.0,Paf74e445706,706.0,2015-12-10,8645.0,7323.0
707,C50c2e82ddd50707,1.0,2016-08-27,2016-08-28,2.0,2419.0,Paf74e447707,707.0,2022-01-05,8781.0,5314.0
709,C50c2e82ddd50709,1.0,2014-01-04,2014-03-29,1.0,998.0,Paf74e44a709,709.0,2014-12-15,3197.0,956.0
710,C50c2e82ddd50710,0.0,2009-08-08,2009-09-28,5.0,2915.0,Paf750b54710,710.0,2020-12-06,13095.0,1243.0
711,C50c2e82ddd50711,1.0,2018-11-20,2018-12-15,1.0,4933.0,Paf750b56711,711.0,2020-02-27,17245.0,12665.0
712,C50c2e82ddd50712,1.0,2007-08-29,2007-09-16,1.0,925.0,Paf750b58712,712.0,2016-10-03,17640.0,5460.0
715,C50c2e82ddd50715,0.0,2010-05-31,2010-07-16,3.0,1383.0,Paf750b5c715,715.0,2022-09-09,44178.0,18853.0
717,C50c2e82ddd50717,1.0,2014-01-01,2014-01-18,1.0,3354.0,Paf753266717,717.0,2018-08-08,9581.0,8808.0
720,C50c2e82ddd50720,1.0,2021-04-25,2021-05-10,3.0,828.0,Paf75326a720,720.0,2021-05-07,3137.0,897.0
721,C50c2e82ddd50721,0.0,2014-02-16,2014-03-17,5.0,2409.0,Paf75326c721,721.0,2017-03-13,2218.0,1288.0
722,C50c2e82ddd50722,0.0,2023-01-23,2023-03-05,3.0,4168.0,Paf755979722,722.0,2022-11-06,31874.0,25177.0
723,C50c2e82ddd50723,1.0,2001-11-09,2001-11-19,0.0,2249.0,Paf75597b723,723.0,2018-10-14,46155.0,12133.0
724,C50c2e82ddd50724,1.0,2021-10-15,2022-01-27,5.0,1415.0,Paf75597d724,724.0,2022-04-28,6071.0,4842.0
725,C50c2e82ddd50725,1.0,2020-05-26,2020-05-26,5.0,2960.0,Paf75597f725,725.0,2020-09-02,6400.0,5179.0
726,C50c2e82ddd50726,1.0,2014-09-27,2014-10-08,1.0,3063.0,Paf755981726,726.0,2022-05-03,28860.0,14477.0
727,C50c2e82ddd50727,1.0,2020-06-10,2020-08-03,4.0,572.0,Paf75808a727,727.0,2021-09-09,35903.0,35492.0
729,C50c2e82ddd50729,0.0,2021-08-03,2022-03-29,5.0,4986.0,Paf75808d729,729.0,2021-07-18,32072.0,8071.0
731,C50c2e82ddd50731,0.0,2017-01-07,2017-02-12,1.0,3064.0,Paf758090731,731.0,2019-07-01,27831.0,11303.0
736,C50c2e82ddd50736,0.0,2023-06-13,2023-06-27,2.0,2174.0,Paf75a79e736,736.0,2022-11-23,22354.0,20076.0
739,C50c2e82ddd50739,1.0,2016-06-28,2016-08-29,4.0,4019.0,Paf75a7a2739,739.0,2016-04-19,17404.0,7258.0
742,C50c2e82ddd50742,1.0,2022-11-23,2022-12-12,5.0,3609.0,Paf75a7a6742,742.0,2022-06-14,49926.0,26318.0
743,C50c2e82ddd50743,0.0,2020-01-04,2020-08-23,2.0,1060.0,Paf75ceaf743,743.0,2019-07-13,24628.0,7255.0
745,C50c2e82ddd50745,0.0,2013-01-20,2013-01-26,2.0,2900.0,Paf75ceb2745,745.0,2021-11-06,28834.0,13304.0
746,C50c2e82ddd50746,0.0,2021-11-10,2022-04-11,1.0,1370.0,Paf75ceb4746,746.0,2021-10-06,12182.0,5448.0
747,C50c2e82ddd50747,0.0,2012-05-18,2012-07-03,1.0,2898.0,Paf75ceb6747,747.0,2012-06-07,11384.0,9623.0
749,C50c2e82ddd50749,1.0,2011-05-24,2011-05-28,1.0,4892.0,Paf75f5c2749,749.0,2016-11-02,1572.0,501.0
750,C50c2e82ddd50750,1.0,2021-11-17,2021-12-05,1.0,4725.0,Paf75f5c4750,750.0,2021-11-11,22865.0,3532.0
752,C50c2e82ddd50752,0.0,2012-09-09,2012-09-18,3.0,2717.0,Paf75f5c7752,752.0,2022-09-22,44324.0,32135.0
753,C50c2e82ddd50753,1.0,2022-06-11,2022-09-01,0.0,2742.0,Paf75f5c9753,753.0,2022-02-27,49880.0,40911.0
754,C50c2e82ddd50754,0.0,2006-05-23,2006-06-20,2.0,3977.0,Paf761cd3754,754.0,2011-08-05,48066.0,5627.0
756,C50c2e82ddd50756,0.0,2014-12-25,2015-02-19,1.0,2071.0,Paf761cd6756,756.0,2016-12-24,38567.0,14628.0
757,C50c2e82ddd50757,1.0,2020-06-23,2020-10-10,5.0,3406.0,Paf761cd8757,757.0,2021-01-15,3220.0,2480.0
760,C50c2e82ddd50760,0.0,2022-08-14,2022-10-11,4.0,1008.0,Paf7643e6760,760.0,2022-07-11,36323.0,16232.0
761,C50c2e82ddd50761,1.0,2016-12-01,2016-12-04,2.0,3917.0,Paf7643e8761,761.0,2020-10-19,37557.0,4866.0
762,C50c2e82ddd50762,0.0,2019-10-07,2019-10-13,3.0,4224.0,Paf7643ea762,762.0,2021-09-03,29408.0,9472.0
771,C50c2e82ddd50771,1.0,2019-10-12,2019-12-04,4.0,2505.0,Paf766af9771,771.0,2021-04-28,29000.0,1064.0
773,C50c2e82ddd50773,0.0,2022-02-11,2022-04-12,1.0,3134.0,Paf766afc773,773.0,2022-07-15,29509.0,24030.0
774,C50c2e82ddd50774,0.0,2017-06-14,2017-06-15,2.0,3844.0,Paf766afe774,774.0,2018-08-13,23639.0,9670.0
777,C50c2e82ddd50777,1.0,2020-06-09,2020-06-12,1.0,1694.0,Paf76920a777,777.0,2020-02-20,5617.0,2102.0
783,C50c2e82ddd50783,1.0,2018-03-25,2018-04-22,3.0,1668.0,Paf769211783,783.0,2018-07-10,43257.0,1673.0
787,C50c2e82ddd50787,0.0,2022-11-26,2023-01-14,3.0,3704.0,Paf76b91e787,787.0,2022-02-05,39208.0,25942.0
789,C50c2e82ddd50789,0.0,2020-11-22,2020-12-17,1.0,3480.0,Paf76b921789,789.0,2021-07-02,32049.0,12840.0
790,C50c2e82ddd50790,1.0,2023-06-24,2023-07-10,5.0,4352.0,Paf76b923790,790.0,2022-08-06,16813.0,8458.0
792,C50c2e82ddd50792,0.0,2011-02-04,2011-08-15,1.0,2398.0,Paf76e02e792,792.0,2012-01-18,48206.0,40707.0
793,C50c2e82ddd50793,1.0,2022-06-01,2022-06-03,0.0,1652.0,Paf76e030793,793.0,2022-12-17,36162.0,5503.0
794,C50c2e82ddd50794,1.0,2019-03-19,2019-08-16,3.0,202.0,Paf76e032794,794.0,2021-05-03,40513.0,25797.0
796,C50c2e82ddd50796,1.0,2014-06-19,2014-08-02,3.0,726.0,Paf76e035796,796.0,2015-05-08,12250.0,6809.0
800,C50c2e82ddd50800,0.0,2013-07-10,2013-07-15,5.0,229.0,Paf770742800,800.0,2016-09-17,10725.0,4799.0
802,C50c2e82ddd50802,1.0,2020-12-25,2021-01-16,1.0,1358.0,Paf770745802,802.0,2021-01-11,39133.0,5458.0
803,C50c2e82ddd50803,1.0,2022-01-21,2022-04-26,5.0,459.0,Paf770747803,803.0,2022-08-28,21289.0,15894.0
806,C50c2e82ddd50806,0.0,2012-01-02,2012-02-17,2.0,1002.0,Paf772e57806,806.0,2013-05-03,49992.0,48843.0
807,C50c2e82ddd50807,0.0,2018-07-01,2018-09-30,4.0,3098.0,Paf772e59807,807.0,2022-07-23,23960.0,5755.0
811,C50c2e82ddd50811,0.0,2022-12-01,2022-12-01,4.0,718.0,Paf775566811,811.0,2022-12-22,31610.0,27019.0
